singer	title	cluster
이글 파이브	몽중인	5
이글 파이브	뭐니	5
신화	T.O.P. (Twinkling Of Paradise)	3
신화	Yo! (악동보고서)	0
핑클 (Fin.K.L)	영원한 사랑	1
핑클 (Fin.K.L)	자존심	3
핑클 (Fin.K.L)	Waiting For You	1
Y2K	헤어진 후에	6
Y2K	깊은 슬픔	3
Y2K	비련	0
Y2K	부탁이야	7
클레오	Good Time	0
클레오	니가 나를 꼭 사랑할때만	0
클레오	연인	1
티티마	Prism	1
티티마	My Baby	5
티티마	My Baby	0
티티마	Smile Again	6
티티마	Loner	5
티티마	Come To Me	5
티티마	A+ (A Plus)	1
티티마	Heaven	0
티티마	Loving	6
솔리드	이 밤의 끝을 잡고	7
솔리드	천생연분	0
솔리드	이제 그만 화 풀어요	3
태사자	Magic	6
태사자	Vanessa	7
오피피에이	그대야 미안해	7
오피피에이	와요와요	1
베이비복스	Killer	0
클릭비 (Click-B)	Dreamming	1
클릭비 (Click-B)	잊혀진 사랑	1
젝스키스	Com' Back	0
H.O.T.	아이야!	0
핑클 (Fin.K.L)	루비	0
에스이에스	Twillight Zone	5
에스이에스	Love	7
코요태	실연	1
god	사랑해 그리고 기억해	1
god	애수(哀愁)	1
god	Friday Night	0
핑클 (Fin.K.L)	화이트 (White)	3
핑클 (Fin.K.L)	나의 왕자님께 (To My Prince)	7
핑클 (Fin.K.L)	가면의 시간	3
밀크	Wait For Me	1
쥬얼리	달콤한 상상	7
쥬얼리	하늘같은 사랑	1
샤크라	Why	1
샤크라	결심	7
샤크라	이별징후	3
샤크라	기원	5
샤크라	한 (Come A Come)	5
샤크라	사랑징후	1
샤크라	Make A Love	1
샤크라	Fantasy	1
샤크라	Champion	0
샤크라	Hey U	6
엑스라지	미안해	1
엑스라지	슬픈 약속	5
엑스라지	Deep Down	1
엑스라지	Window Pain	5
엑스라지	No Time To Lose	7
엑스라지	Why	7
엑스라지	Rose	0
엑스라지	You	1
엑스라지	막상막하	0
엑스라지	인연	7
엑스라지	Sexy Lady	0
에스지	Birthday Kiss	7
에스지	몽유애	6
에스지	Love Letter	1
에스지	그대가	1
에스지	My Love Song	1
에스지	White	1
에스지	내가 꿈꾸는 세계	7
에스지	누구야 (Original Ver.)	1
에스지	Chaos	0
에스지	쉿 (Original Ver.)	3
에스지	누구야 (World Mix)	1
에스지	Eraser = Born To Kill (Club Ver.)	6
에스지	쉿 (Zipecher Mix)	3
에스지	누구야 (Who Mix)	1
에스지	Outro (슬픈 눈)	0
샤크라	Hey U	6
샤크라	한	5
파파야	배려	5
파파야	있을 때 잘하기	5
파파야	탐	3
파파야	Smile Smile	3
파파야	내 얘길 들어봐	7
파파야	꼭 약속해	3
파파야	Special	0
파파야	바람끼	0
파파야	가면	6
파파야	있을 때 잘하기	5
파파야	Special (Remix)	0
샤모니	바리향	0
샤모니	성실	5
샤모니	기원	6
쥬얼리	몽	3
샤크라	Lonely Christmas	5
샤크라	Christmas 시리즈	0
샤크라	Amazing Grace	1
샤크라	석별의 정	5
샤크라	상제리제에 내린 축복	0
샤크라	루돌프 사슴코	0
샤크라	고요한 밤	0
샤크라	Santa Claus Is Coming To Town	0
샤크라	Chakra X-Mas	5
샤크라	Feliz Navida	0
샤크라	뒷북치는 소년	3
샤크라	Hey U!	6
보이 클럽	Always	2
보이 클럽	다시	5
샤크라	그대라면... (빌어요)	0
샤크라	우리들의 이야기	0
샤크라	끝 (End)	1
샤크라	아니야	1
샤크라	사랑이여 (베사메무초)	1
샤크라	용 기	0
샤크라	Dance Queen	6
샤크라	내 느낌!	1
샤크라	한 번만 더	1
샤크라	Oh! My Boy	1
샤크라	주연은 너와 나	1
쥬얼리	이젠	1
쥬얼리	소나기	1
쥬얼리	하늘같은 사랑	1
쥬얼리	사랑해	1
쥬얼리	달콤한 상상	7
쥬얼리	작은 바램	7
쥬얼리	Say	1
쥬얼리	Heart	6
쥬얼리	Say Yes	0
쥬얼리	Forever	6
쥬얼리	날 믿어요	6
쥬얼리	Happy End	6
디베이스	사랑한다는 것	1
디베이스	그대로	1
디베이스	모든것을 너에게	7
디베이스	원	6
디베이스	Good Life	3
디베이스	후회	5
디베이스	I`ll Tell U	0
디베이스	상처	0
디베이스	샤인	0
디베이스	Cowboy	7
파파야	이제	6
파파야	사랑의 속삭임	6
파파야	Broken	5
파파야	아찔	0
파파야	사랑만들기	1
파파야	Don`t Move	1
파파야	배반	3
파파야	참	1
파파야	스무살	0
파파야	Passion Of Love	4
파파야	Violet	5
파파야	사랑만들기	1
에스지	Erazer	6
에스지	누구야	1
플래티넘	돌아와줘	5
투야	천사의 눈물	7
투야	I`ll Be There	1
투야	가	5
투야	봐	0
투야	Run Away	1
투야	Touch	6
투야	그렇게 넌	5
투야	Crazy	1
투야	Summer Love	0
투야	Myself	1
투야	한번만	5
케이팝	연인	5
케이팝	그림자	7
케이팝	Game	6
케이팝	0.5	6
케이팝	The Pain	1
케이팝	시나브로	7
케이팝	Comedy	5
케이팝	Smile Again	5
케이팝	Only You	1
케이팝	도플갱어	1
케이팝	소름	5
케이팝	케세라세라	7
케이팝	Love Hacker	6
파파야	Smile Smile	3
보이스코	어떻게	5
보이스코	하루만	5
보이스코	두근두근	3
보이스코	왔어	1
보이스코	깻잎소녀	0
보이스코	Show Me Love	1
보이스코	두근 두근	3
보이스코	하루만 (Remix)	5
JTL	A Better Day	5
JTL	놀아나는 아이들	0
JTL	Just Say Goodbye	5
JTL	Enter The Dragon	6
JTL	Mistake	6
JTL	Really Want U	5
JTL	Hard For Me	0
JTL	From Fan	3
JTL	My Lecon	0
JTL	Bow Wow	7
밀크	Sad Letter	5
밀크	Wish	1
밀크	Crystal	1
밀크	Come To Me	0
밀크	무조건적인 사랑	1
밀크	All My Love For You	1
밀크	I Want You	7
밀크	Secret	0
밀크	Reason	0
밀크	She Never...	0
밀크	Stay With Me	5
밀크	Good Time	0
쥬얼리	하늘같은 사랑	1
블랙 비트	Intro (Can`t You Feel)	0
블랙 비트	The Fan	7
블랙 비트	In The Sky	1
블랙 비트	회상	1
블랙 비트	Y (Tell Me Why)	5
블랙 비트	헤어지기 전	5
블랙 비트	Shine	7
블랙 비트	친구	6
블랙 비트	In The Sky - Radio Edited (Bonus Track)	1
블랙 비트	날개	1
블랙 비트	Lover	6
블랙 비트	Black Beat	6
블랙 비트	Dangerous	6
블랙 비트	Night Fever	4
제이워크	Come On	3
제이워크	Just Falling Love	5
제이워크	아니	5
제이워크	Suddenly	5
제이워크	헤어지던 날	5
제이워크	Secret	6
제이워크	이대로 사랑할께요	1
제이워크	Big Show	3
제이워크	나의 첫사랑이자 마지막 사랑	6
제이워크	거꾸로 가는 시계	0
제이워크	슬픈 영화처럼	5
제이워크	Suddenly (Classical Ver. MR)	5
악동 클럽 	Never	6
악동 클럽 	Outside	6
악동 클럽 	한(恨)	0
악동 클럽 	변심	1
